From;To;Distance (km)
BYDGOSZCZ_2;KIELCE;353,46
BYDGOSZCZ_2;KONIN;128,63
BYDGOSZCZ_2;KOSZALIN;205,01
BYDGOSZCZ_2;LEGNICA;302,38
BYDGOSZCZ_2;LESZNO_1;222,29
BYDGOSZCZ_2;LESZNO_2;224,65
BYDGOSZCZ_2;LUBIN;284,67
BYDGOSZCZ_2;LUBON;151,95
BYDGOSZCZ_2;LODZ_1;208,18
BYDGOSZCZ_2;LODZ_2;217,39
BYDGOSZCZ_2;OBORNIKI_WLKP;120,18
BYDGOSZCZ_2;PABIANICE;228,15
BYDGOSZCZ_2;PILA_1;102,52
BYDGOSZCZ_2;PILA_2;102,13
BYDGOSZCZ_2;PIOTRKOW_TRYB;251,22
BYDGOSZCZ_2;POZNAN_Z;148,54
BYDGOSZCZ_2;POZNAN_B;151,99
BYDGOSZCZ_2;POZNAN_D;142,78
BYDGOSZCZ_2;POZNAN_GL;157,03
BYDGOSZCZ_2;POZNAN_GR;145,55
BYDGOSZCZ_2;POZNAN_H;155,29
BYDGOSZCZ_2;POZNAN_MAL;150,68
BYDGOSZCZ_2;POZNAN_MAR;157,45
BYDGOSZCZ_2;POZNAN_PLA;146,75
BYDGOSZCZ_2;POZNAN_PLE;158,96
BYDGOSZCZ_2;POZNAN_PRO;156,92
BYDGOSZCZ_2;POZNAN_R;151,48
BYDGOSZCZ_2;POZNAN_T;161,89
BYDGOSZCZ_2;RADOM;353,8
BYDGOSZCZ_2;RZESZOW_1;541,49
BYDGOSZCZ_2;RZESZOW_2;549,39
BYDGOSZCZ_2;SIERADZ;219,19
BYDGOSZCZ_2;SUCHY_LAS;139,57
BYDGOSZCZ_2;SWARZEDZ;133,81
BYDGOSZCZ_2;SRODA_WLKP;140,89
BYDGOSZCZ_2;TORUN_1;33,82
BYDGOSZCZ_2;TORUN_2;38,01
BYDGOSZCZ_2;TORUN_3;44,04
BYDGOSZCZ_2;TRZCIANKA;125,86
BYDGOSZCZ_2;WARSZAWA_BL;271,42
BYDGOSZCZ_2;WARSZAWA_J;271,91
BYDGOSZCZ_2;WARSZAWA_TARCH;238,54
BYDGOSZCZ_2;WROCLAW_1;292,44
BYDGOSZCZ_2;WROCLAW_2;293,31
BYDGOSZCZ_2;WROCLAW_3;290,78
