From;To;Distance (km)
WARSZAWA_J;SIERADZ;196,99
WARSZAWA_J;SUCHY_LAS;320,24
WARSZAWA_J;SWARZEDZ;301,61
WARSZAWA_J;SRODA_WLKP;283,31
WARSZAWA_J;TORUN_1;240,3
WARSZAWA_J;TORUN_2;240,95
WARSZAWA_J;TORUN_3;243,42
WARSZAWA_J;TRZCIANKA;392,19
WARSZAWA_J;WARSZAWA_BL;12,06
WARSZAWA_J;WARSZAWA_TARCH;28,55
WARSZAWA_J;WROCLAW_1;351,96
WARSZAWA_J;WROCLAW_2;352,83
WARSZAWA_J;WROCLAW_3;339,88
WARSZAWA_J;WROCLAW_4;352,92
WARSZAWA_J;WROCLAW_5;350,87
WARSZAWA_J;ZLOTOW;376,05
WARSZAWA_J;CHRZANOW;300,51
WARSZAWA_J;KATOWICE;280,97
WARSZAWA_J;BIELSKO_BIALA;329,72
WARSZAWA_J;GDANSK_1;377,82
WARSZAWA_J;GDANSK_2;367,86
WARSZAWA_J;GDANSK_3;374,56
WARSZAWA_J;STARGARD_SZCZECINSKI;527,03
WARSZAWA_J;SZCZECIN_1;568,92
WARSZAWA_J;SZCZECIN_2;564,82
WARSZAWA_J;SZCZECIN_3;552,26
WARSZAWA_J;TCZEW;347,68
WARSZAWA_J;GRUDZIADZ_1;298,34
WARSZAWA_J;GRUDZIADZ_2;296,35
WARSZAWA_J;WARSZAWA_STAWKI;18,86
WARSZAWA_J;JOZEFOSLAW;18,39
WARSZAWA_J;GDANSK_4;368,57
WARSZAWA_J;GDANSK_5;377,93
WARSZAWA_J;OLSZTYN;226,39
WARSZAWA_J;ZIELONA_GORA_1;451,71
WARSZAWA_J;ZIELONA_GORA_2;452,38
WARSZAWA_J;SLUBICE;470,52
WARSZAWA_J;DREZDENKO;429,98
WARSZAWA_J;STRZELCE_KRAJENSKIE;451,77
WARSZAWA_J;GORZOW_1;462,55
WARSZAWA_J;GORZOW_2;459,86
WARSZAWA_J;PNIEWY;361,92
WARSZAWA_J;PLOCK_1;123,93
WARSZAWA_J;PLOCK_2;124,77
WARSZAWA_J;PLOCK_3;124,77
WARSZAWA_J;BRWINOW;18,47
WARSZAWA_J;WARSZAWA_TARG;28,79
WARSZAWA_J;WARSZAWA_UR;17,65
WARSZAWA_J;TARNOWO_PODGORNE;331,06
WARSZAWA_J;GNIEZNO;281,92
WARSZAWA_J;GRUDZIADZ_3;297,26
WARSZAWA_TARCH;DC;311,55
WARSZAWA_TARCH;BIALYSTOK_1;197,23
WARSZAWA_TARCH;BIALYSTOK_2;194,11
WARSZAWA_TARCH;BYDGOSZCZ_1;247,62
WARSZAWA_TARCH;BYDGOSZCZ_2;238,28
WARSZAWA_TARCH;BYDGOSZCZ_3;244,1
WARSZAWA_TARCH;GLOGOW_1;405,69
WARSZAWA_TARCH;GLOGOW_2;408,46
WARSZAWA_TARCH;INOWROCLAW;254,86
WARSZAWA_TARCH;JAROCIN;288,52
WARSZAWA_TARCH;KALISZ_1;240,92
WARSZAWA_TARCH;KIELCE;190,95
WARSZAWA_TARCH;KONIN;224,79
WARSZAWA_TARCH;KOSZALIN;434,61
WARSZAWA_TARCH;LEGNICA;432,19
WARSZAWA_TARCH;LESZNO_1;359,59
WARSZAWA_TARCH;LESZNO_2;359,51
WARSZAWA_TARCH;LUBIN;421,17
WARSZAWA_TARCH;LUBON;314,32
WARSZAWA_TARCH;LODZ_1;134,2
WARSZAWA_TARCH;LODZ_2;143,42
WARSZAWA_TARCH;OBORNIKI_WLKP;351,23
WARSZAWA_TARCH;PABIANICE;154,18
WARSZAWA_TARCH;PILA_1;383,82
WARSZAWA_TARCH;PILA_2;383,44
WARSZAWA_TARCH;PIOTRKOW_TRYB;152,55
WARSZAWA_TARCH;POZNAN_Z;310,92
WARSZAWA_TARCH;POZNAN_B;314,36
WARSZAWA_TARCH;POZNAN_D;326,77
WARSZAWA_TARCH;POZNAN_GL;319,4
WARSZAWA_TARCH;POZNAN_GR;318,12
WARSZAWA_TARCH;POZNAN_H;317,66
WARSZAWA_TARCH;POZNAN_MAL;313,05
WARSZAWA_TARCH;POZNAN_MAR;319,82
WARSZAWA_TARCH;POZNAN_PLA;319,03
WARSZAWA_TARCH;POZNAN_PLE;321,34
WARSZAWA_TARCH;POZNAN_PRO;319,3
WARSZAWA_TARCH;POZNAN_R;313,86
WARSZAWA_TARCH;POZNAN_T;324,26
WARSZAWA_TARCH;RADOM;122,81
WARSZAWA_TARCH;RZESZOW_1;310,51
WARSZAWA_TARCH;RZESZOW_2;318,41
WARSZAWA_TARCH;SIERADZ;205,28
WARSZAWA_TARCH;SUCHY_LAS;328,53
WARSZAWA_TARCH;SWARZEDZ;309,9
WARSZAWA_TARCH;SRODA_WLKP;291,61
WARSZAWA_TARCH;TORUN_1;205,11
WARSZAWA_TARCH;TORUN_2;202,52
WARSZAWA_TARCH;TORUN_3;195,66
WARSZAWA_TARCH;TRZCIANKA;407,17
WARSZAWA_TARCH;WARSZAWA_BL;16,47
WARSZAWA_TARCH;WARSZAWA_J;28,42
WARSZAWA_TARCH;WROCLAW_1;360,25
WARSZAWA_TARCH;WROCLAW_2;361,12
WARSZAWA_TARCH;WROCLAW_3;348,18
WARSZAWA_TARCH;WROCLAW_4;361,22
WARSZAWA_TARCH;WROCLAW_5;359,17
WARSZAWA_TARCH;ZLOTOW;351,34
WARSZAWA_TARCH;CHRZANOW;328,27
WARSZAWA_TARCH;KATOWICE;308,72
WARSZAWA_TARCH;BIELSKO_BIALA;357,47
WARSZAWA_TARCH;GDANSK_1;355,25
WARSZAWA_TARCH;GDANSK_2;345,28
WARSZAWA_TARCH;GDANSK_3;351,99
WARSZAWA_TARCH;STARGARD_SZCZECINSKI;516,44
WARSZAWA_TARCH;SZCZECIN_1;557,17
WARSZAWA_TARCH;SZCZECIN_2;553,56
WARSZAWA_TARCH;SZCZECIN_3;541,67
WARSZAWA_TARCH;TCZEW;325,1
WARSZAWA_TARCH;GRUDZIADZ_1;246,28
WARSZAWA_TARCH;GRUDZIADZ_2;244,3
WARSZAWA_TARCH;WARSZAWA_STAWKI;11,53
WARSZAWA_TARCH;JOZEFOSLAW;37,07
WARSZAWA_TARCH;GDANSK_4;346
WARSZAWA_TARCH;GDANSK_5;355,35
WARSZAWA_TARCH;OLSZTYN;203,82
WARSZAWA_TARCH;ZIELONA_GORA_1;460
WARSZAWA_TARCH;ZIELONA_GORA_2;460,67
WARSZAWA_TARCH;SLUBICE;478,81
WARSZAWA_TARCH;DREZDENKO;439,96
WARSZAWA_TARCH;STRZELCE_KRAJENSKIE;470,92
WARSZAWA_TARCH;GORZOW_1;470,84
WARSZAWA_TARCH;GORZOW_2;468,15
WARSZAWA_TARCH;PNIEWY;370,21
WARSZAWA_TARCH;PLOCK_1;97,46
WARSZAWA_TARCH;PLOCK_2;98,31
WARSZAWA_TARCH;PLOCK_3;98,31
WARSZAWA_TARCH;BRWINOW;35,16
WARSZAWA_TARCH;WARSZAWA_TARG;11,94
WARSZAWA_TARCH;WARSZAWA_UR;23,71
WARSZAWA_TARCH;TARNOWO_PODGORNE;339,35
WARSZAWA_TARCH;GNIEZNO;290,22
WARSZAWA_TARCH;GRUDZIADZ_3;245,21
WROCLAW_1;DC;155,54
WROCLAW_1;BIALYSTOK_1;546,65
WROCLAW_1;BIALYSTOK_2;543,53
WROCLAW_1;BYDGOSZCZ_1;280,58
WROCLAW_1;BYDGOSZCZ_2;291,29
WROCLAW_1;BYDGOSZCZ_3;283,22
WROCLAW_1;GLOGOW_1;111,86
WROCLAW_1;GLOGOW_2;110,13
WROCLAW_1;INOWROCLAW;256,26
WROCLAW_1;JAROCIN;115,72
WROCLAW_1;KALISZ_1;127,88
WROCLAW_1;KIELCE;343,75
WROCLAW_1;KONIN;184,46
WROCLAW_1;KOSZALIN;427,66
WROCLAW_1;LEGNICA;77,41
WROCLAW_1;LESZNO_1;102,28
WROCLAW_1;LESZNO_2;99,76
WROCLAW_1;LUBIN;74,68
WROCLAW_1;LUBON;170,11
WROCLAW_1;LODZ_1;230,55
WROCLAW_1;LODZ_2;218,72
WROCLAW_1;OBORNIKI_WLKP;217,82
WROCLAW_1;PABIANICE;211,77
WROCLAW_1;PILA_1;287,84
WROCLAW_1;PILA_2;288,43
WROCLAW_1;PIOTRKOW_TRYB;221,8
WROCLAW_1;POZNAN_Z;166,26
WROCLAW_1;POZNAN_B;169,7
WROCLAW_1;POZNAN_D;177,65
WROCLAW_1;POZNAN_GL;171,77
WROCLAW_1;POZNAN_GR;173,46
WROCLAW_1;POZNAN_H;173,45
WROCLAW_1;POZNAN_MAL;168,4
WROCLAW_1;POZNAN_MAR;175,61
WROCLAW_1;POZNAN_PLA;174,37
WROCLAW_1;POZNAN_PLE;171,49
WROCLAW_1;POZNAN_PRO;175,38
WROCLAW_1;POZNAN_R;169,2
WROCLAW_1;POZNAN_T;175,77
WROCLAW_1;RADOM;334,65
WROCLAW_1;RZESZOW_1;437,87
WROCLAW_1;RZESZOW_2;439,86
WROCLAW_1;SIERADZ;161,57
WROCLAW_1;SUCHY_LAS;179,41
WROCLAW_1;SWARZEDZ;169,34
WROCLAW_1;SRODA_WLKP;152,52
WROCLAW_1;TORUN_1;298,32
WROCLAW_1;TORUN_2;298,97
WROCLAW_1;TORUN_3;311,91
WROCLAW_1;TRZCIANKA;273,16
WROCLAW_1;WARSZAWA_BL;351,48
WROCLAW_1;WARSZAWA_J;351,97
WROCLAW_1;WARSZAWA_TARCH;361,11
WROCLAW_1;WROCLAW_2;4,53
WROCLAW_1;WROCLAW_3;8,03
WROCLAW_1;WROCLAW_4;3,79
WROCLAW_1;WROCLAW_5;4,56
WROCLAW_1;ZLOTOW;297,16
WROCLAW_1;CHRZANOW;228,53
WROCLAW_1;KATOWICE;194,68
WROCLAW_1;BIELSKO_BIALA;249,75
WROCLAW_1;GDANSK_1;469,28
WROCLAW_1;GDANSK_2;459,32
WROCLAW_1;GDANSK_3;466,03
WROCLAW_1;STARGARD_SZCZECINSKI;362,8
WROCLAW_1;SZCZECIN_1;371,97
WROCLAW_1;SZCZECIN_2;367,88
WROCLAW_1;SZCZECIN_3;362,95
WROCLAW_1;TCZEW;439,14
WROCLAW_1;GRUDZIADZ_1;360,32
WROCLAW_1;GRUDZIADZ_2;358,33
WROCLAW_1;WARSZAWA_STAWKI;354,15
WROCLAW_1;JOZEFOSLAW;360,62
WROCLAW_1;GDANSK_4;460,04
WROCLAW_1;GDANSK_5;469,39
WROCLAW_1;OLSZTYN;508,2
WROCLAW_1;ZIELONA_GORA_1;160,98
WROCLAW_1;ZIELONA_GORA_2;160,83
WROCLAW_1;SLUBICE;289,41
WROCLAW_1;DREZDENKO;258,02
WROCLAW_1;STRZELCE_KRAJENSKIE;290,45
WROCLAW_1;GORZOW_1;265,61
WROCLAW_1;GORZOW_2;262,92
WROCLAW_1;PNIEWY;209,46
WROCLAW_1;PLOCK_1;340,56
WROCLAW_1;PLOCK_2;339,92
WROCLAW_1;PLOCK_3;339,92
WROCLAW_1;BRWINOW;335,74
WROCLAW_1;WARSZAWA_TARG;361,35
WROCLAW_1;WARSZAWA_UR;359,88
WROCLAW_1;TARNOWO_PODGORNE;192,93
WROCLAW_1;GNIEZNO;188,74
WROCLAW_1;GRUDZIADZ_3;359,24
WROCLAW_2;DC;155,99
WROCLAW_2;BIALYSTOK_1;546,71
WROCLAW_2;BIALYSTOK_2;543,59
WROCLAW_2;BYDGOSZCZ_1;281,04
WROCLAW_2;BYDGOSZCZ_2;291,74
WROCLAW_2;BYDGOSZCZ_3;283,68
WROCLAW_2;GLOGOW_1;111,88
WROCLAW_2;GLOGOW_2;110,14
WROCLAW_2;INOWROCLAW;256,32
WROCLAW_2;JAROCIN;116,17
WROCLAW_2;KALISZ_1;127,94
WROCLAW_2;KIELCE;340,34
WROCLAW_2;KONIN;184,52
WROCLAW_2;KOSZALIN;428,11
WROCLAW_2;LEGNICA;74
WROCLAW_2;LESZNO_1;102,73
WROCLAW_2;LESZNO_2;100,21
WROCLAW_2;LUBIN;74,69
WROCLAW_2;LUBON;170,56
WROCLAW_2;LODZ_1;230,61
WROCLAW_2;LODZ_2;218,78
WROCLAW_2;OBORNIKI_WLKP;218,27
WROCLAW_2;PABIANICE;211,84
WROCLAW_2;PILA_1;288,29
WROCLAW_2;PILA_2;288,88
WROCLAW_2;PIOTRKOW_TRYB;221,86
WROCLAW_2;POZNAN_Z;166,71
WROCLAW_2;POZNAN_B;170,16
WROCLAW_2;POZNAN_D;178,1
WROCLAW_2;POZNAN_GL;172,23
WROCLAW_2;POZNAN_GR;173,91
WROCLAW_2;POZNAN_H;173,9
WROCLAW_2;POZNAN_MAL;168,85
WROCLAW_2;POZNAN_MAR;176,06
WROCLAW_2;POZNAN_PLA;174,83
WROCLAW_2;POZNAN_PLE;171,95
WROCLAW_2;POZNAN_PRO;175,84
WROCLAW_2;POZNAN_R;169,65
WROCLAW_2;POZNAN_T;176,23
WROCLAW_2;RADOM;334,71
WROCLAW_2;RZESZOW_1;434,46
WROCLAW_2;RZESZOW_2;436,46
WROCLAW_2;SIERADZ;161,63
WROCLAW_2;SUCHY_LAS;179,87
WROCLAW_2;SWARZEDZ;169,79
WROCLAW_2;SRODA_WLKP;152,97
WROCLAW_2;TORUN_1;298,38
WROCLAW_2;TORUN_2;299,03
WROCLAW_2;TORUN_3;311,97
WROCLAW_2;TRZCIANKA;273,61
WROCLAW_2;WARSZAWA_BL;351,54
WROCLAW_2;WARSZAWA_J;352,03
WROCLAW_2;WARSZAWA_TARCH;361,17
WROCLAW_2;WROCLAW_1;4,62
WROCLAW_2;WROCLAW_3;9,51
WROCLAW_2;WROCLAW_4;1,67
WROCLAW_2;WROCLAW_5;2,29
WROCLAW_2;ZLOTOW;297,61
WROCLAW_2;CHRZANOW;225,12
WROCLAW_2;KATOWICE;191,27
WROCLAW_2;BIELSKO_BIALA;246,35
WROCLAW_2;GDANSK_1;469,34
WROCLAW_2;GDANSK_2;459,38
WROCLAW_2;GDANSK_3;466,09
WROCLAW_2;STARGARD_SZCZECINSKI;362,82
WROCLAW_2;SZCZECIN_1;371,99
WROCLAW_2;SZCZECIN_2;367,89
WROCLAW_2;SZCZECIN_3;362,96
WROCLAW_2;TCZEW;439,2
WROCLAW_2;GRUDZIADZ_1;360,38
WROCLAW_2;GRUDZIADZ_2;358,39
WROCLAW_2;WARSZAWA_STAWKI;354,21
WROCLAW_2;JOZEFOSLAW;360,68
WROCLAW_2;GDANSK_4;460,1
WROCLAW_2;GDANSK_5;469,45
WROCLAW_2;OLSZTYN;508,26
WROCLAW_2;ZIELONA_GORA_1;160,99
WROCLAW_2;ZIELONA_GORA_2;160,85
WROCLAW_2;SLUBICE;286
WROCLAW_2;DREZDENKO;258,47
WROCLAW_2;STRZELCE_KRAJENSKIE;290,46
WROCLAW_2;GORZOW_1;265,62
WROCLAW_2;GORZOW_2;262,93
WROCLAW_2;PNIEWY;209,92
WROCLAW_2;PLOCK_1;340,62
WROCLAW_2;PLOCK_2;339,98
WROCLAW_2;PLOCK_3;339,98
WROCLAW_2;BRWINOW;335,8
WROCLAW_2;WARSZAWA_TARG;361,41
WROCLAW_2;WARSZAWA_UR;359,94
WROCLAW_2;TARNOWO_PODGORNE;193,39
WROCLAW_2;GNIEZNO;189,19
WROCLAW_2;GRUDZIADZ_3;359,31
WROCLAW_3;DC;153,15
WROCLAW_3;BIALYSTOK_1;540,61
WROCLAW_3;BIALYSTOK_2;537,49
WROCLAW_3;BYDGOSZCZ_1;278,2
WROCLAW_3;BYDGOSZCZ_2;288,91
WROCLAW_3;BYDGOSZCZ_3;280,84
WROCLAW_3;GLOGOW_1;113,48
WROCLAW_3;GLOGOW_2;111,75
WROCLAW_3;INOWROCLAW;250,22
WROCLAW_3;JAROCIN;113,33
WROCLAW_3;KALISZ_1;121,85
WROCLAW_3;KIELCE;313,62
WROCLAW_3;KONIN;178,42
WROCLAW_3;KOSZALIN;425,27
WROCLAW_3;LEGNICA;82,47
WROCLAW_3;LESZNO_1;99,9
WROCLAW_3;LESZNO_2;97,37
WROCLAW_3;LUBIN;76,3
WROCLAW_3;LUBON;167,72
WROCLAW_3;LODZ_1;224,51
WROCLAW_3;LODZ_2;212,68
WROCLAW_3;OBORNIKI_WLKP;215,43
WROCLAW_3;PABIANICE;205,74
WROCLAW_3;PILA_1;285,46
WROCLAW_3;PILA_2;286,04
WROCLAW_3;PIOTRKOW_TRYB;215,76
WROCLAW_3;POZNAN_Z;163,88
WROCLAW_3;POZNAN_B;167,32
WROCLAW_3;POZNAN_D;175,26
WROCLAW_3;POZNAN_GL;169,39
WROCLAW_3;POZNAN_GR;171,07
WROCLAW_3;POZNAN_H;171,07
WROCLAW_3;POZNAN_MAL;166,01
WROCLAW_3;POZNAN_MAR;173,22
WROCLAW_3;POZNAN_PLA;171,99
WROCLAW_3;POZNAN_PLE;169,11
WROCLAW_3;POZNAN_PRO;173
WROCLAW_3;POZNAN_R;166,82
WROCLAW_3;POZNAN_T;173,39
WROCLAW_3;RADOM;328,61
WROCLAW_3;RZESZOW_1;442,93
WROCLAW_3;RZESZOW_2;444,93
WROCLAW_3;SIERADZ;155,53
WROCLAW_3;SUCHY_LAS;177,03
WROCLAW_3;SWARZEDZ;166,96
WROCLAW_3;SRODA_WLKP;150,13
WROCLAW_3;TORUN_1;292,28
WROCLAW_3;TORUN_2;292,93
WROCLAW_3;TORUN_3;305,87
WROCLAW_3;TRZCIANKA;270,77
WROCLAW_3;WARSZAWA_BL;345,45
WROCLAW_3;WARSZAWA_J;345,93
WROCLAW_3;WARSZAWA_TARCH;355,07
WROCLAW_3;WROCLAW_1;7,72
WROCLAW_3;WROCLAW_2;9,59
WROCLAW_3;WROCLAW_4;9,68
WROCLAW_3;WROCLAW_5;9,13
WROCLAW_3;ZLOTOW;294,77
WROCLAW_3;CHRZANOW;233,59
WROCLAW_3;KATOWICE;199,74
WROCLAW_3;BIELSKO_BIALA;254,82
WROCLAW_3;GDANSK_1;463,25
WROCLAW_3;GDANSK_2;453,28
WROCLAW_3;GDANSK_3;459,99
WROCLAW_3;STARGARD_SZCZECINSKI;364,42
WROCLAW_3;SZCZECIN_1;373,59
WROCLAW_3;SZCZECIN_2;369,5
WROCLAW_3;SZCZECIN_3;364,57
WROCLAW_3;TCZEW;433,1
WROCLAW_3;GRUDZIADZ_1;354,28
WROCLAW_3;GRUDZIADZ_2;352,29
WROCLAW_3;WARSZAWA_STAWKI;348,11
WROCLAW_3;JOZEFOSLAW;354,58
WROCLAW_3;GDANSK_4;454
WROCLAW_3;GDANSK_5;463,35
WROCLAW_3;OLSZTYN;502,16
WROCLAW_3;ZIELONA_GORA_1;162,6
WROCLAW_3;ZIELONA_GORA_2;162,45
WROCLAW_3;SLUBICE;294,47
WROCLAW_3;DREZDENKO;255,64
WROCLAW_3;STRZELCE_KRAJENSKIE;292,07
WROCLAW_3;GORZOW_1;267,23
WROCLAW_3;GORZOW_2;264,53
WROCLAW_3;PNIEWY;207,08
WROCLAW_3;PLOCK_1;334,52
WROCLAW_3;PLOCK_2;333,89
WROCLAW_3;PLOCK_3;333,89
WROCLAW_3;BRWINOW;329,7
WROCLAW_3;WARSZAWA_TARG;355,31
WROCLAW_3;WARSZAWA_UR;353,84
WROCLAW_3;TARNOWO_PODGORNE;190,55
WROCLAW_3;GNIEZNO;186,36
WROCLAW_3;GRUDZIADZ_3;353,21
WROCLAW_4;DC;156,26
WROCLAW_4;BIALYSTOK_1;546,98
WROCLAW_4;BIALYSTOK_2;543,86
WROCLAW_4;BYDGOSZCZ_1;281,31
WROCLAW_4;BYDGOSZCZ_2;292,01
WROCLAW_4;BYDGOSZCZ_3;283,95
WROCLAW_4;GLOGOW_1;112,88
WROCLAW_4;GLOGOW_2;111,15
WROCLAW_4;INOWROCLAW;256,59
WROCLAW_4;JAROCIN;116,44
WROCLAW_4;KALISZ_1;128,21
WROCLAW_4;KIELCE;341,34
WROCLAW_4;KONIN;184,79
WROCLAW_4;KOSZALIN;428,38
WROCLAW_4;LEGNICA;75,01
WROCLAW_4;LESZNO_1;103
WROCLAW_4;LESZNO_2;100,48
WROCLAW_4;LUBIN;75,7
WROCLAW_4;LUBON;170,83
WROCLAW_4;LODZ_1;230,88
WROCLAW_4;LODZ_2;219,05
WROCLAW_4;OBORNIKI_WLKP;218,54
WROCLAW_4;PABIANICE;212,11
WROCLAW_4;PILA_1;288,56
WROCLAW_4;PILA_2;289,15
WROCLAW_4;PIOTRKOW_TRYB;222,13
WROCLAW_4;POZNAN_Z;166,98
WROCLAW_4;POZNAN_B;170,43
WROCLAW_4;POZNAN_D;178,37
WROCLAW_4;POZNAN_GL;172,5
WROCLAW_4;POZNAN_GR;174,18
WROCLAW_4;POZNAN_H;174,17
WROCLAW_4;POZNAN_MAL;169,12
WROCLAW_4;POZNAN_MAR;176,33
WROCLAW_4;POZNAN_PLA;175,1
WROCLAW_4;POZNAN_PLE;172,22
WROCLAW_4;POZNAN_PRO;176,11
WROCLAW_4;POZNAN_R;169,92
WROCLAW_4;POZNAN_T;176,5
WROCLAW_4;RADOM;334,98
WROCLAW_4;RZESZOW_1;435,47
WROCLAW_4;RZESZOW_2;437,46
WROCLAW_4;SIERADZ;161,9
WROCLAW_4;SUCHY_LAS;180,14
WROCLAW_4;SWARZEDZ;170,06
WROCLAW_4;SRODA_WLKP;153,24
WROCLAW_4;TORUN_1;298,65
WROCLAW_4;TORUN_2;299,3
WROCLAW_4;TORUN_3;312,24
WROCLAW_4;TRZCIANKA;273,88
WROCLAW_4;WARSZAWA_BL;351,81
WROCLAW_4;WARSZAWA_J;352,3
WROCLAW_4;WARSZAWA_TARCH;361,44
WROCLAW_4;WROCLAW_1;4,17
WROCLAW_4;WROCLAW_2;2,12
WROCLAW_4;WROCLAW_3;9,78
WROCLAW_4;WROCLAW_5;3,29
WROCLAW_4;ZLOTOW;297,88
WROCLAW_4;CHRZANOW;226,12
WROCLAW_4;KATOWICE;192,27
WROCLAW_4;BIELSKO_BIALA;247,35
WROCLAW_4;GDANSK_1;469,61
WROCLAW_4;GDANSK_2;459,65
WROCLAW_4;GDANSK_3;466,36
WROCLAW_4;STARGARD_SZCZECINSKI;363,82
WROCLAW_4;SZCZECIN_1;372,99
WROCLAW_4;SZCZECIN_2;368,9
WROCLAW_4;SZCZECIN_3;363,97
WROCLAW_4;TCZEW;439,47
WROCLAW_4;GRUDZIADZ_1;360,65
WROCLAW_4;GRUDZIADZ_2;358,66
WROCLAW_4;WARSZAWA_STAWKI;354,48
WROCLAW_4;JOZEFOSLAW;360,95
WROCLAW_4;GDANSK_4;460,37
WROCLAW_4;GDANSK_5;469,72
WROCLAW_4;OLSZTYN;508,53
WROCLAW_4;ZIELONA_GORA_1;161,99
WROCLAW_4;ZIELONA_GORA_2;161,85
WROCLAW_4;SLUBICE;287
WROCLAW_4;DREZDENKO;258,74
WROCLAW_4;STRZELCE_KRAJENSKIE;291,47
WROCLAW_4;GORZOW_1;266,62
WROCLAW_4;GORZOW_2;263,93
WROCLAW_4;PNIEWY;210,19
WROCLAW_4;PLOCK_1;340,89
WROCLAW_4;PLOCK_2;340,25
WROCLAW_4;PLOCK_3;340,25
WROCLAW_4;BRWINOW;336,07
WROCLAW_4;WARSZAWA_TARG;361,68
WROCLAW_4;WARSZAWA_UR;360,21
WROCLAW_4;TARNOWO_PODGORNE;193,66
WROCLAW_4;GNIEZNO;189,46
WROCLAW_4;GRUDZIADZ_3;359,58
WROCLAW_5;DC;154,18
WROCLAW_5;BIALYSTOK_1;544,9
WROCLAW_5;BIALYSTOK_2;541,78
WROCLAW_5;BYDGOSZCZ_1;279,23
WROCLAW_5;BYDGOSZCZ_2;289,94
WROCLAW_5;BYDGOSZCZ_3;281,87
WROCLAW_5;GLOGOW_1;111,47
WROCLAW_5;GLOGOW_2;109,74
WROCLAW_5;INOWROCLAW;254,51
WROCLAW_5;JAROCIN;114,36
WROCLAW_5;KALISZ_1;126,14
WROCLAW_5;KIELCE;341,03
WROCLAW_5;KONIN;182,71
WROCLAW_5;KOSZALIN;426,3
WROCLAW_5;LEGNICA;74,69
WROCLAW_5;LESZNO_1;100,93
WROCLAW_5;LESZNO_2;98,4
WROCLAW_5;LUBIN;74,29
WROCLAW_5;LUBON;168,75
WROCLAW_5;LODZ_1;228,8
WROCLAW_5;LODZ_2;216,97
WROCLAW_5;OBORNIKI_WLKP;216,46
WROCLAW_5;PABIANICE;210,03
WROCLAW_5;PILA_1;286,49
WROCLAW_5;PILA_2;287,07
WROCLAW_5;PIOTRKOW_TRYB;220,05
WROCLAW_5;POZNAN_Z;164,9
WROCLAW_5;POZNAN_B;168,35
WROCLAW_5;POZNAN_D;176,29
WROCLAW_5;POZNAN_GL;170,42
WROCLAW_5;POZNAN_GR;172,1
WROCLAW_5;POZNAN_H;172,1
WROCLAW_5;POZNAN_MAL;167,04
WROCLAW_5;POZNAN_MAR;174,25
WROCLAW_5;POZNAN_PLA;173,02
WROCLAW_5;POZNAN_PLE;170,14
WROCLAW_5;POZNAN_PRO;174,03
WROCLAW_5;POZNAN_R;167,85
WROCLAW_5;POZNAN_T;174,42
WROCLAW_5;RADOM;332,9
WROCLAW_5;RZESZOW_1;435,15
WROCLAW_5;RZESZOW_2;437,14
WROCLAW_5;SIERADZ;159,82
WROCLAW_5;SUCHY_LAS;178,06
WROCLAW_5;SWARZEDZ;167,99
WROCLAW_5;SRODA_WLKP;151,16
WROCLAW_5;TORUN_1;296,57
WROCLAW_5;TORUN_2;297,22
WROCLAW_5;TORUN_3;310,16
WROCLAW_5;TRZCIANKA;271,8
WROCLAW_5;WARSZAWA_BL;349,74
WROCLAW_5;WARSZAWA_J;350,22
WROCLAW_5;WARSZAWA_TARCH;359,37
WROCLAW_5;WROCLAW_1;4,31
WROCLAW_5;WROCLAW_2;2,72
WROCLAW_5;WROCLAW_3;9,2
WROCLAW_5;WROCLAW_4;3,39
WROCLAW_5;ZLOTOW;295,8
WROCLAW_5;CHRZANOW;225,81
WROCLAW_5;KATOWICE;191,96
WROCLAW_5;BIELSKO_BIALA;247,03
WROCLAW_5;GDANSK_1;467,54
WROCLAW_5;GDANSK_2;457,57
WROCLAW_5;GDANSK_3;464,28
WROCLAW_5;STARGARD_SZCZECINSKI;362,42
WROCLAW_5;SZCZECIN_1;371,59
WROCLAW_5;SZCZECIN_2;367,49
WROCLAW_5;SZCZECIN_3;362,56
WROCLAW_5;TCZEW;437,39
WROCLAW_5;GRUDZIADZ_1;358,57
WROCLAW_5;GRUDZIADZ_2;356,58
WROCLAW_5;WARSZAWA_STAWKI;352,4
WROCLAW_5;JOZEFOSLAW;358,87
WROCLAW_5;GDANSK_4;458,29
WROCLAW_5;GDANSK_5;467,64
WROCLAW_5;OLSZTYN;506,45
WROCLAW_5;ZIELONA_GORA_1;160,59
WROCLAW_5;ZIELONA_GORA_2;160,45
WROCLAW_5;SLUBICE;286,69
WROCLAW_5;DREZDENKO;256,66
WROCLAW_5;STRZELCE_KRAJENSKIE;290,06
WROCLAW_5;GORZOW_1;265,22
WROCLAW_5;GORZOW_2;262,53
WROCLAW_5;PNIEWY;208,11
WROCLAW_5;PLOCK_1;338,81
WROCLAW_5;PLOCK_2;338,18
WROCLAW_5;PLOCK_3;338,18
WROCLAW_5;BRWINOW;333,99
WROCLAW_5;WARSZAWA_TARG;359,61
WROCLAW_5;WARSZAWA_UR;358,13
WROCLAW_5;TARNOWO_PODGORNE;191,58
WROCLAW_5;GNIEZNO;187,39
WROCLAW_5;GRUDZIADZ_3;357,5
ZLOTOW;DC;142,38
ZLOTOW;BIALYSTOK_1;507,41
ZLOTOW;BIALYSTOK_2;504,3
ZLOTOW;BYDGOSZCZ_1;93,3
